<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ2,1,20121008,124900,147810.00000,147840.00000,147730.00000,147770.00000,920
RIZ2,1,20121008,125000,147760.00000,147850.00000,147760.00000,147850.00000,1006
RIZ2,1,20121008,125100,147860.00000,147950.00000,147860.00000,147900.00000,2009
RIZ2,1,20121008,125200,147890.00000,147910.00000,147870.00000,147890.00000,490
RIZ2,1,20121008,125300,147890.00000,147900.00000,147850.00000,147890.00000,479
RIZ2,1,20121008,125400,147880.00000,148080.00000,147850.00000,148070.00000,3286
RIZ2,1,20121008,125500,148070.00000,148220.00000,148020.00000,148190.00000,6365
RIZ2,1,20121008,125600,148190.00000,148240.00000,148140.00000,148170.00000,3147
RIZ2,1,20121008,125700,148170.00000,148200.00000,148130.00000,148150.00000,898
RIZ2,1,20121008,125800,148150.00000,148240.00000,148150.00000,148160.00000,1343
RIZ2,1,20121008,125900,148160.00000,148220.00000,148100.00000,148130.00000,1829
RIZ2,1,20121008,130000,148140.00000,148150.00000,148030.00000,148090.00000,4722
RIZ2,1,20121008,130100,148080.00000,148090.00000,148040.00000,148080.00000,532
RIZ2,1,20121008,130200,148080.00000,148120.00000,148060.00000,148110.00000,747
RIZ2,1,20121008,130300,148100.00000,148130.00000,148060.00000,148130.00000,547
RIZ2,1,20121008,130400,148130.00000,148170.00000,148120.00000,148130.00000,821
RIZ2,1,20121008,130500,148130.00000,148180.00000,148120.00000,148140.00000,316
RIZ2,1,20121008,130600,148140.00000,148160.00000,148090.00000,148110.00000,485
RIZ2,1,20121008,130700,148120.00000,148120.00000,148050.00000,148060.00000,1490
RIZ2,1,20121008,130800,148070.00000,148130.00000,148060.00000,148090.00000,503
RIZ2,1,20121008,130900,148090.00000,148180.00000,148080.00000,148160.00000,872
RIZ2,1,20121008,131000,148160.00000,148180.00000,148130.00000,148130.00000,281
RIZ2,1,20121008,131100,148140.00000,148150.00000,148010.00000,148040.00000,1443
RIZ2,1,20121008,131200,148030.00000,148050.00000,147930.00000,147970.00000,2309
RIZ2,1,20121008,131300,147970.00000,148040.00000,147970.00000,148010.00000,586
RIZ2,1,20121008,131400,148020.00000,148020.00000,147950.00000,147950.00000,691
RIZ2,1,20121008,131500,147950.00000,148020.00000,147910.00000,148010.00000,1000
RIZ2,1,20121008,131600,148010.00000,148090.00000,147980.00000,148040.00000,759
RIZ2,1,20121008,131700,148040.00000,148090.00000,148030.00000,148040.00000,380
RIZ2,1,20121008,131800,148040.00000,148120.00000,148030.00000,148100.00000,752
RIZ2,1,20121008,131900,148090.00000,148130.00000,148070.00000,148110.00000,598
RIZ2,1,20121008,132000,148110.00000,148150.00000,148100.00000,148130.00000,675
RIZ2,1,20121008,132100,148140.00000,148190.00000,148120.00000,148130.00000,1053
RIZ2,1,20121008,132200,148140.00000,148140.00000,148000.00000,148060.00000,1787
RIZ2,1,20121008,132300,148050.00000,148070.00000,148010.00000,148050.00000,456
RIZ2,1,20121008,132400,148050.00000,148090.00000,148010.00000,148030.00000,447
RIZ2,1,20121008,132500,148020.00000,148110.00000,148020.00000,148100.00000,439
RIZ2,1,20121008,132600,148090.00000,148100.00000,148060.00000,148100.00000,192
RIZ2,1,20121008,132700,148100.00000,148100.00000,148030.00000,148030.00000,292
RIZ2,1,20121008,132800,148030.00000,148110.00000,148030.00000,148090.00000,369
RIZ2,1,20121008,132900,148080.00000,148100.00000,148010.00000,148020.00000,835
RIZ2,1,20121008,133000,148030.00000,148080.00000,147970.00000,147990.00000,981
RIZ2,1,20121008,133100,147980.00000,148020.00000,147960.00000,148020.00000,883
