<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,103817,158.20000,300
GAZP,0,20121008,103818,158.20000,400
GAZP,0,20121008,103818,158.20000,10
GAZP,0,20121008,103818,158.20000,100
GAZP,0,20121008,103819,158.20000,1400
GAZP,0,20121008,103827,158.20000,760
GAZP,0,20121008,103827,158.20000,2400
GAZP,0,20121008,103827,158.20000,710
GAZP,0,20121008,103827,158.20000,200
GAZP,0,20121008,103848,158.21000,10
GAZP,0,20121008,103901,158.21000,250
GAZP,0,20121008,103913,158.21000,240
GAZP,0,20121008,103915,158.23000,10
GAZP,0,20121008,103917,158.24000,30
GAZP,0,20121008,103919,158.24000,30
GAZP,0,20121008,103926,158.24000,40
GAZP,0,20121008,103926,158.24000,100
GAZP,0,20121008,103927,158.24000,300
GAZP,0,20121008,103927,158.24000,100
GAZP,0,20121008,103927,158.24000,300
GAZP,0,20121008,103948,158.25000,30
GAZP,0,20121008,103948,158.25000,340
GAZP,0,20121008,103949,158.25000,60
GAZP,0,20121008,103949,158.26000,10
GAZP,0,20121008,103949,158.24000,160
GAZP,0,20121008,103949,158.24000,20
GAZP,0,20121008,104000,158.21000,250
GAZP,0,20121008,104001,158.21000,250
GAZP,0,20121008,104001,158.21000,100
GAZP,0,20121008,104001,158.20000,50
GAZP,0,20121008,104001,158.20000,400
GAZP,0,20121008,104001,158.20000,400
GAZP,0,20121008,104002,158.20000,400
GAZP,0,20121008,104002,158.20000,400
GAZP,0,20121008,104002,158.20000,400
GAZP,0,20121008,104002,158.20000,100
GAZP,0,20121008,104003,158.20000,400
GAZP,0,20121008,104003,158.20000,400
GAZP,0,20121008,104004,158.20000,400
GAZP,0,20121008,104004,158.20000,400
GAZP,0,20121008,104004,158.20000,200
GAZP,0,20121008,104013,158.20000,240
GAZP,0,20121008,104014,158.23000,10
GAZP,0,20121008,104017,158.23000,10
GAZP,0,20121008,104035,158.23000,10
GAZP,0,20121008,104037,158.20000,20
